"x" "y" "alpha"
145 175 0.26
155 175 0.28
165 175 0.29
175 175 0.29
185 175 0.27
195 175 0.3
205 175 0.32
215 175 0.3
225 175 0.34
235 175 0.32
245 175 0.35
255 175 0.4
265 175 0.34
275 175 0.38
285 175 0.34
295 175 0.4
5 185 0.2
15 185 0.24
25 185 0.24
35 185 0.24
45 185 0.24
55 185 0.28
65 185 0.25
75 185 0.28
85 185 0.27
95 185 0.28
105 185 0.28
115 185 0.27
125 185 0.28
135 185 0.28
145 185 0.31
155 185 0.32
165 185 0.3
175 185 0.32
185 185 0.3
195 185 0.34
205 185 0.34
215 185 0.33
225 185 0.35
235 185 0.4
245 185 0.33
255 185 0.38
265 185 0.39
275 185 0.37
285 185 0.39
295 185 0.39
5 195 0.26
15 195 0.24
25 195 0.25
35 195 0.27
45 195 0.27
55 195 0.26
65 195 0.29
75 195 0.31
85 195 0.26
95 195 0.31
105 195 0.32
115 195 0.29
125 195 0.31
135 195 0.31
145 195 0.32
155 195 0.31
165 195 0.35
175 195 0.3
185 195 0.34
195 195 0.34
205 195 0.38
215 195 0.37
225 195 0.36
235 195 0.37
245 195 0.38
255 195 0.38
265 195 0.43
275 195 0.39
285 195 0.42
295 195 0.44
5 205 0.25
15 205 0.24
25 205 0.23
35 205 0.27
45 205 0.26
55 205 0.27
65 205 0.32
75 205 0.32
85 205 0.26
95 205 0.31
105 205 0.33
115 205 0.31
125 205 0.33
135 205 0.36
145 205 0.35
155 205 0.38
165 205 0.4
175 205 0.38
185 205 0.39
195 205 0.37
205 205 0.4
215 205 0.41
225 205 0.39
235 205 0.41
245 205 0.43
255 205 0.45
265 205 0.39
275 205 0.43
285 205 0.46
295 205 0.45
5 215 0.25
15 215 0.27
25 215 0.28
35 215 0.29
45 215 0.28
55 215 0.33
65 215 0.33
75 215 0.3
85 215 0.29
95 215 0.33
105 215 0.33
115 215 0.3
125 215 0.37
135 215 0.36
145 215 0.33
155 215 0.41
165 215 0.37
175 215 0.33
185 215 0.36
195 215 0.4
205 215 0.37
215 215 0.46
225 215 0.43
235 215 0.44
245 215 0.42
255 215 0.43
265 215 0.48
275 215 0.44
285 215 0.39
295 215 0.5
5 225 0.28
15 225 0.31
25 225 0.3
35 225 0.31
45 225 0.31
55 225 0.36
65 225 0.29
75 225 0.37
85 225 0.31
95 225 0.36
105 225 0.33
115 225 0.37
125 225 0.35
135 225 0.39
145 225 0.34
155 225 0.37
165 225 0.36
175 225 0.42
185 225 0.38
195 225 0.43
205 225 0.44
215 225 0.45
225 225 0.45
235 225 0.47
245 225 0.43
255 225 0.48
265 225 0.49
275 225 0.48
285 225 0.45
295 225 0.51
5 235 0.3
15 235 0.31
25 235 0.3
35 235 0.32
45 235 0.34
55 235 0.34
65 235 0.34
75 235 0.34
85 235 0.34
95 235 0.37
105 235 0.39
115 235 0.39
125 235 0.42
135 235 0.4
145 235 0.37
155 235 0.38
165 235 0.43
175 235 0.44
185 235 0.41
195 235 0.46
205 235 0.43
215 235 0.46
225 235 0.41
235 235 0.5
245 235 0.48
255 235 0.45
265 235 0.53
275 235 0.52
285 235 0.53
295 235 0.49
5 245 0.35
15 245 0.34
25 245 0.35
35 245 0.35
45 245 0.35
55 245 0.36
65 245 0.36
75 245 0.4
85 245 0.38
95 245 0.35
105 245 0.39
115 245 0.39
125 245 0.42
135 245 0.43
145 245 0.45
155 245 0.44
165 245 0.44
175 245 0.44
185 245 0.41
195 245 0.45
205 245 0.47
215 245 0.5
225 245 0.51
235 245 0.55
245 245 0.53
255 245 0.5
265 245 0.51
275 245 0.47
285 245 0.48
295 245 0.53
5 255 0.33
15 255 0.35
25 255 0.35
35 255 0.33
45 255 0.36
55 255 0.44
65 255 0.44
75 255 0.37
85 255 0.39
95 255 0.39
105 255 0.44
115 255 0.45
125 255 0.46
135 255 0.44
145 255 0.47
155 255 0.41
165 255 0.45
175 255 0.49
185 255 0.51
195 255 0.46
205 255 0.49
215 255 0.52
225 255 0.53
235 255 0.53
245 255 0.55
255 255 0.56
265 255 0.52
275 255 0.51
285 255 0.56
295 255 0.6
5 265 0.39
15 265 0.37
25 265 0.38
35 265 0.38
45 265 0.41
55 265 0.38
65 265 0.42
75 265 0.43
85 265 0.44
95 265 0.46
105 265 0.42
115 265 0.45
125 265 0.52
135 265 0.51
145 265 0.46
155 265 0.51
165 265 0.49
175 265 0.52
185 265 0.55
195 265 0.51
205 265 0.54
215 265 0.56
225 265 0.54
235 265 0.55
245 265 0.53
255 265 0.56
265 265 0.56
275 265 0.56
285 265 0.57
295 265 0.58
5 275 0.41
15 275 0.4
25 275 0.36
35 275 0.41
45 275 0.41
55 275 0.39
65 275 0.46
75 275 0.45
85 275 0.46
95 275 0.48
105 275 0.47
115 275 0.48
125 275 0.44
135 275 0.48
145 275 0.5
155 275 0.44
165 275 0.49
175 275 0.49
185 275 0.51
195 275 0.54
205 275 0.57
215 275 0.52
225 275 0.52
235 275 0.51
245 275 0.6
255 275 0.56
265 275 0.6
275 275 0.56
285 275 0.59
295 275 0.6
5 285 0.4
15 285 0.38
25 285 0.45
35 285 0.46
45 285 0.47
55 285 0.44
65 285 0.45
75 285 0.44
85 285 0.46
95 285 0.51
105 285 0.44
115 285 0.5
125 285 0.52
135 285 0.5
145 285 0.53
155 285 0.53
165 285 0.54
175 285 0.5
185 285 0.6
195 285 0.55
205 285 0.54
215 285 0.58
225 285 0.59
235 285 0.63
245 285 0.61
255 285 0.59
265 285 0.63
275 285 0.62
285 285 0.59
295 285 0.61
5 295 0.46
15 295 0.42
25 295 0.5
35 295 0.44
45 295 0.47
55 295 0.45
65 295 0.45
75 295 0.52
85 295 0.5
95 295 0.53
105 295 0.51
115 295 0.5
125 295 0.5
135 295 0.55
145 295 0.5
155 295 0.58
165 295 0.56
175 295 0.57
185 295 0.55
195 295 0.58
205 295 0.61
215 295 0.59
225 295 0.64
235 295 0.61
245 295 0.59
255 295 0.64
265 295 0.66
275 295 0.63
285 295 0.62
295 295 0.67
